Date,Cases,Deaths
2015-12-02,3804,2536
2015-12-03,3805,2536
2015-12-09,3804,2536
2015-12-10,3804,2536
2015-12-11,3804,2536
2015-12-15,3807,2536
2015-12-16,3807,2536
2015-12-17,3805,2536
2015-12-22,3804,2536
2015-12-23,3804,2536
2015-12-29,3804,2536
2016-03-23,3804,2536
